1,,1,What is the BGP protocol number?,BGP uses TCP for it's communication.
2,,1,What port does BGP use?,Port 179
3,,1,What are the two BGP types and when do we use them?,* iBGP: \n Use cases: 1. when path attributes are required (would be lost in redistribution) \n 2. when custom routing is required (IGPs don't allow easy path manipulation) 3. when scalability is a concern (when can't redistribute BGP) \n \n Issues: 1. Requires full mesh - can workaround with route reflector \n * eBGP
4,,1,What is the BGP AD?,iBGP: 200 \n eBGP: 20
5,,1,What is the BGP loop prevention mechanism?,"if AS path has any duplicates, the advertisement will be discarded"
6,,2,What tables does BGP use?,"* Adj-RIB-In: original incoming NLRIs before the inbound route policies are processed, table is purged after all route policies are processed \n * Loc-RIB: all NLRIs that originated locally or were received from BGP peers; after NLRIs pass validity and next hop reachability check, they are given to the best path algorithm, Loc-RIB is used to present routes to the RIB \n * Adj-RIB-Out: contains the NLRIs after outbound route policies have been processed"
7,,2,List Path Attributes categories.,* Well-known mandatory \n * Well-known discretionary \n * Optional transitive \n * Optional non-transitive \n
8,,2,List any path attributes.,"AS_Path: well-known mandatory, lists the ASs that the route has traversed. \n Next Hop: well-known mandatory, next hop IP. \n MED: optional non-transitive, suggests to external neighbours the preferred path into an AS when multiple entry points are available. \n LocPrf: well-known discretionary, local preference, default 100, higher preferred. \n Weight: Cisco specific. \n Origin: well-known mandatory, iBGP or eBGP, or ? if redistributed from another protocol. \n Accumulated IGP: optional non-transitive. \n Atomic Aggregate: well-known discretionary, indicates that route has been aggregated. \n Aggregator: optional transitive, shows the AS number and IP address of the router that performed the aggregation. \n Communities: optional transitive, allows tagging of routes in different categories to apply policies like access control or route preference. \n Originator ID: optional non-transitive, RID, used in BGP route reflection to prevent loops. \n Cluster list: optional non-transitive, records the route reflector clusters. \n"
9,,2,What is the BGP Path Selection Process?,"Attributes in Order: \n 1. Weight \n 2. Local preference \n 3. Local originated (network statement, redistribution or aggregation) \n 4. AIGP \n 5. Shortest AS_Path \n 6. Origin type \n 7. Lowest MED \n 8. eBGP over iBGP \n 9. Lowest IGP next hop \n 10. If both paths are eBGP, prefer oldest \n 11. Prefer the route that comes from the BGP peer with the lower RID \n 12. Prefer the route with the minimum cluster list length \n 13. Prefer the path that comes from the lowest neighbour address \n"
10,,2,What are the BGP peering states?,"* IDLE: waiting to start 3-way handshake, if stuck, probably reachability issue \n * CONNECT: waiting to complete 3-way handshake \n * ACTIVE: 3-way handshake failed, try again \n * OPEN SENT: 3 way handshake is complete, OPEN message sent \n * OPEN CONFIRM: OPEN message received, parameters agreed upon, waiting for either keepalive or notification message, if keepalive is received, moves to established \n * ESTABLISHED: peering established"
11,,3,What are the BGP packet types?,* Open \n * Keepalive \n * Update \n * Notification
12,,3,What are the four major threats against BGP?,The four major threats against BGP are: 1. Denial of Service (DoS): Malicious hosts send unwanted BGP traffic to a BGP neighbor saturating control plane resources. 2. Route Manipulation: Malicious hosts modify the BGP routing table diverting traffic from its intended destination. 3. Route Hijacking: Rogue BGP neighbors advertise victim networks to redirect traffic. 4. Misconfiguration: Unintentional misconfigurations can lead to network outages and unauthorized access.
13,,3,How can Access Control Lists (ACLs) be used to secure BGP sessions?,ACLs prevent undesired or malicious traffic from reaching the router by only allowing legitimate BGP traffic from authorized neighbors. They are applied to the interface connected to trusted BGP neighbors.
14,,3,Explain the purpose of Control Plane Policing (CoPP) in BGP security.,CoPP protects the router's control plane from DoS attacks by rate-limiting traffic to the control plane. This prevents the route processor from being overwhelmed by malicious or unnecessary traffic.
15,,3,What is the BGP maximum prefix feature,and why is it important?The BGP maximum prefix feature limits the number of prefixes received from a neighbor to prevent a single neighbor from exhausting router resources. If the number of received prefixes exceeds the limit the BGP session is terminated to protect the router.
16,,4,How can prefix filtering with prefix lists enhance BGP security?,Prefix filtering with prefix lists ensures that only legitimate routes are accepted or advertised. This prevents the addition of unwanted or illegitimate routes to the BGP routing table.
17,,4,Describe the process of configuring prefix filtering on a Cisco router.,On a Cisco router prefix filtering is configured by creating a prefix list and applying it to a BGP neighbor in the inbound or outbound direction. Example commands: `ip prefix-list [list-name] [seq number] {deny|permit} network/length` `neighbor [ip-address] prefix-list [list-name] [in|out]`.
18,,4,What are AS path access lists,and how are they used in BGP?AS path access lists filter prefixes based on the AS path attribute allowing administrators to control the routes that are accepted or advertised based on their AS paths. They are configured using regular expressions and applied to BGP neighbors.
19,,4,How is BGP neighbor authentication configured on Cisco and Juniper devices?,On Cisco devices BGP neighbor authentication is configured using the command: `neighbor [ip-address] password [password]`. On Juniper devices it involves creating a key-chain object with the password and linking it to the BGP group.
20,,4,What is the BGP TTL security check,and how is it configured on Cisco and Juniper routers?The BGP TTL security check protects against DoS attacks by setting an expected TTL value for incoming packets. Cisco command: `neighbor [ip-address] ttl-security hops [hop-count]`. Juniper command: `set neighbor [neighbor-ip-address] multihop ttl [ttl-value]`.
21,,3,Why is logging important in BGP,and how can it be enabled on Cisco and Juniper devices?Logging BGP neighbor activities helps monitor unauthorized changes and troubleshoot network issues. On Cisco use `bgp log-neighbor-changes`. On Juniper use `set log-updown` within the BGP configuration.
22,,4,Explain the significance of aggregation in BGP and provide an example of how it is configured on a Cisco router.,Aggregation reduces the number of prefixes in the routing table by announcing a larger address block. Example configuration: `router bgp 64511` `address-family ipv4` `network [aggregate-address] mask [mask]` `ip route [aggregate-address] [mask] null0`.
23,,3,What is the impact of not aggregating routes in BGP?,Not aggregating routes can lead to routing table bloat increased routing churn and longer convergence times impacting the stability and performance of the Internet.
24,,5,What is the purpose of the Dynamic Host Configuration Protocol (DHCP)?,DHCP is used to automate the assignment of IP addresses subnet masks default gateways and other network parameters to devices on a network allowing them to communicate efficiently without manual configuration.
25,,5,Describe the DHCP process from a client's perspective.,The DHCP process includes four main steps: **Discovery**: The client sends a DHCPDISCOVER broadcast message to locate available DHCP servers. **Offer**: DHCP servers respond with a DHCPOFFER message containing configuration parameters. **Request**: The client replies with a DHCPREQUEST message indicating acceptance of the offered parameters. **Acknowledge**: The server sends a DHCPACK message finalizing the lease agreement and allowing the client to use the assigned IP address.
26,,5,What is a DHCP lease and what are its typical components?,A DHCP lease is a temporary assignment of an IP address and other network parameters to a client. It typically includes the IP address subnet mask default gateway DNS servers lease duration and any additional configuration parameters provided by the DHCP server.
27,,5,Explain the concept of DHCP lease renewal.,DHCP lease renewal occurs when a client requests an extension of its current lease before it expires. The client sends a DHCPREQUEST message directly to the server and if the server approves it responds with a DHCPACK message extending the lease duration.
28,,5,How do you configure a basic DHCP server on a Cisco device?,To configure a DHCP server on a Cisco device: 1. Define the DHCP pool: `ip dhcp pool [name]`. 2. Specify the network and subnet: `network [subnet] [subnet-mask]`. 3. Define the default gateway: `default-router [router-IP]`. 4. Set the DNS server: `dns-server [DNS-IP]`. 5. Exclude specific IP addresses: `ip dhcp excluded-address [start-IP] [end-IP]`.
29,,5,What command is used to exclude specific IP addresses from being assigned by the DHCP server on a Cisco router?,The command to exclude IP addresses is `ip dhcp excluded-address [start-IP] [end-IP]`.
30,,6,What are DHCP options and how are they used?,DHCP options are additional configuration parameters that a DHCP server can provide to clients. They are used to convey network information such as default gateway DNS servers domain name and more. Options are identified by numeric codes such as Option 3 for the default gateway and Option 6 for DNS servers.
31,,6,How can you configure a DHCP server to provide a specific DNS server to clients?,To configure a DHCP server to provide a DNS server: `ip dhcp pool [name]` `dns-server [DNS-IP]`.
32,,6,What are some common security threats to DHCP,and how can they be mitigated?Common DHCP security threats include DHCP spoofing where a rogue server provides false IP configurations and DHCP starvation where an attacker exhausts the IP address pool. Mitigation strategies include using DHCP snooping which filters DHCP messages and validates them against a database of legitimate servers and implementing IP source guard to ensure that only legitimate devices use the assigned IP addresses.
33,,6,Explain the concept of DHCP snooping and its benefits.,DHCP snooping is a security feature that acts as a firewall between untrusted hosts and the DHCP server. It validates DHCP messages and maintains a binding table of legitimate DHCP leases. This helps prevent attacks like DHCP spoofing and DHCP starvation by ensuring that only trusted DHCP servers can assign IP addresses.
34,,6,What is the purpose of DHCP relay and how does it work?,DHCP relay is used to forward DHCP messages between clients and servers when they are not on the same subnet. A relay agent receives DHCP broadcasts from clients encapsulates them in unicast messages and forwards them to the DHCP server. The server's responses are then relayed back to the clients.
35,,6,How do you configure a DHCP relay agent on a Cisco router?,To configure a DHCP relay agent on a Cisco router: 1. Enable DHCP relay: `interface [interface]` `ip helper-address [DHCP-server-IP]`. This command forwards DHCP requests to the specified DHCP server IP address.
36,,6,What are common issues encountered with DHCP and how can they be troubleshooted?,Common DHCP issues include address pool exhaustion misconfigurations and network connectivity problems. Troubleshooting steps include verifying DHCP server configuration checking for IP conflicts ensuring network connectivity and using commands like `show ip dhcp binding` and `show ip dhcp pool` to diagnose issues.
37,,6,How can you verify the current DHCP bindings on a Cisco router?,To verify current DHCP bindings use the command `show ip dhcp binding`. This command displays a list of all IP addresses assigned by the DHCP server along with their corresponding MAC addresses and lease expiration times.
38,,7,What is the Domain Name System (DNS) and what is its primary purpose?,DNS is a hierarchical and decentralized naming system used to resolve human-readable domain names (like www.example.com) into IP addresses (like 192.0.2.1) allowing users to access websites and other resources on the Internet without needing to memorize numeric addresses.
39,,7,Describe the components of the DNS architecture.,The DNS architecture consists of: 1. **DNS Resolvers**: Clients that query DNS servers. 2. **DNS Servers**: Includes Root TLD and Authoritative servers that store DNS records and respond to queries. 3. **DNS Zones**: Subdivisions of the DNS namespace managed by an authoritative DNS server. 4. **DNS Records**: Entries in a DNS zone file that map domain names to IP addresses and other resources.
40,,7,What are the types of DNS queries and responses?,There are three types of DNS queries: 1. **Recursive Query**: The DNS server will query other servers on behalf of the client until an answer is found. 2. **Iterative Query**: The DNS server returns the best answer it has (which might be a referral to another DNS server). 3. **Inverse Query**: Used to map an IP address back to a domain name. Responses can be: **Authoritative** **Non-authoritative** or **Referral**.
41,,7,Explain the process of resolving a DNS query.,The DNS query process involves: 1. The client sends a query to a local DNS resolver. 2. The resolver checks its cache. 3. If not cached the resolver queries a root DNS server. 4. The root server responds with a referral to a TLD server. 5. The resolver queries the TLD server which responds with a referral to an authoritative server. 6. The resolver queries the authoritative server which responds with the requested IP address. 7. The resolver caches the result and returns it to the client.
42,,7,What are the common types of DNS records and their purposes?,Common DNS records include: 1. **A Record**: Maps a domain name to an IPv4 address. 2. **AAAA Record**: Maps a domain name to an IPv6 address. 3. **CNAME Record**: Alias for another domain name. 4. **MX Record**: Mail exchange server for the domain. 5. **TXT Record**: Text information often used for SPF and domain verification. 6. **NS Record**: Nameserver for the DNS zone. 7. **PTR Record**: Maps an IP address to a domain name (reverse DNS lookup).
43,,8,What is DNSSEC and how does it enhance DNS security?,DNSSEC (Domain Name System Security Extensions) adds security to DNS by enabling DNS responses to be verified using digital signatures. It helps prevent attacks such as cache poisoning and spoofing by ensuring the authenticity and integrity of DNS responses.
44,,8,How is DNSSEC implemented and what are its key components?,DNSSEC implementation involves: 1. **Zone Signing**: Signing DNS zone data with a private key. 2. **DS Records**: Delegation Signer records link a child zone to its parent zone. 3. **RRSIG Records**: Contain the digital signatures for DNS records. 4. **DNSKEY Records**: Hold the public keys used to verify RRSIG records. DNS resolvers must be configured to validate DNSSEC signatures.
45,,8,How can you configure a basic DNS server using BIND?,To configure a basic DNS server using BIND: 1. Install BIND: `sudo apt-get install bind9`. 2. Configure the `/etc/bind/named.conf` file. 3. Create a zone file in `/etc/bind/zones`. 4. Add DNS records to the zone file. 5. Start the BIND service: `sudo service bind9 start`.
46,,8,What tools can be used to troubleshoot DNS issues and how are they used?,Common DNS troubleshooting tools include: 1. **dig**: Queries DNS servers and displays the responses. Example: `dig example.com`. 2. **nslookup**: Queries DNS servers. Example: `nslookup example.com`. 3. **host**: A simple utility to perform DNS lookups. Example: `host example.com`. These tools help diagnose issues like DNS resolution failures incorrect DNS records and network connectivity problems.
47,,8,How can you verify DNS propagation for a new or updated DNS record?,To verify DNS propagation: 1. Use `dig` to query different DNS servers. Example: `dig @8.8.8.8 example.com`. 2. Use online tools like WhatsMyDNS.net to check DNS records from multiple locations worldwide. This helps ensure that the new or updated DNS records have been distributed across the global DNS infrastructure.
48,,9,What is the primary purpose of the Transmission Control Protocol (TCP)?,TCP is a connection-oriented protocol used for reliable communication between network devices. It ensures that data is delivered in the same order it was sent without duplication or loss by establishing a connection through a three-way handshake and maintaining it with sequence numbers and acknowledgments.
49,,9,Describe the TCP three-way handshake process.,The TCP three-way handshake is used to establish a reliable connection between a client and server: 1. **SYN**: The client sends a SYN (synchronize) packet to the server to initiate a connection. 2. **SYN-ACK**: The server responds with a SYN-ACK (synchronize-acknowledge) packet to acknowledge the client's request. 3. **ACK**: The client sends an ACK (acknowledge) packet back to the server completing the handshake and establishing a connection.
50,,9,What is TCP segmentation and why is it important?,TCP segmentation divides large data messages into smaller segments for transmission. This is important because it allows data to be sent over networks with varying maximum transmission unit (MTU) sizes ensuring efficient and reliable communication.
51,,9,How does TCP handle reassembly of segmented data?,TCP uses sequence numbers to keep track of each segment's position in the original data stream. The receiver uses these sequence numbers to reassemble the segments in the correct order ensuring that the data is complete and properly sequenced.
52,,9,What is the purpose of TCP flow control?,TCP flow control prevents network congestion and ensures that the sender does not overwhelm the receiver with too much data at once. It uses a sliding window mechanism to manage the amount of data that can be sent before receiving an acknowledgment from the receiver.
53,,10,Explain the sliding window mechanism in TCP.,The sliding window mechanism in TCP allows the sender to send multiple segments before needing an acknowledgment for the first segment. The size of the window determines the amount of unacknowledged data that can be in transit. The receiver advertises the window size and the sender adjusts its transmission rate accordingly.
54,,10,What are the key algorithms used in TCP congestion control?,The key algorithms used in TCP congestion control include: 1. **Slow Start**: Begins with a small congestion window and increases it exponentially until packet loss occurs. 2. **Congestion Avoidance**: Increases the congestion window linearly to avoid congestion. 3. **Fast Retransmit**: Detects packet loss through duplicate acknowledgments and retransmits lost packets quickly. 4. **Fast Recovery**: Temporarily reduces the congestion window and then increases it linearly to recover from packet loss.
55,,10,Describe the Slow Start algorithm in TCP.,The Slow Start algorithm starts with a small congestion window size (usually one segment) and increases it exponentially with each acknowledgment received doubling the window size each round-trip time (RTT) until a threshold is reached or packet loss occurs.
56,,10,How does TCP perform error detection?,TCP performs error detection using checksums. Each TCP segment includes a checksum field that the sender calculates based on the segment's header and data. The receiver recalculates the checksum and compares it to the value in the received segment. If they match the segment is considered error-free; otherwise it is discarded.
57,,10,What mechanisms does TCP use for error recovery?,TCP uses acknowledgment (ACK) packets and retransmissions for error recovery. If the sender does not receive an ACK for a segment within a certain time (timeout) it assumes the segment was lost and retransmits it. Additionally TCP employs fast retransmit and recovery mechanisms to quickly address packet loss detected through duplicate ACKs.
58,,11,What is the purpose of TCP window scaling?,TCP window scaling is used to support larger window sizes than the default maximum of 65535 bytes. It is important for high-speed long-distance networks where larger window sizes can improve throughput. The window scaling option is negotiated during the three-way handshake.
59,,11,How does TCP selective acknowledgment (SACK) improve performance?,TCP selective acknowledgment (SACK) allows the receiver to inform the sender about all the segments that have been received successfully rather than just the next expected segment. This enables the sender to retransmit only the missing segments improving performance and efficiency.
