1;;56;What five key functions do operating systems provide?;1. An application platform - A place for programs to run.<br /><br />2. Hardware moderator - An communication interface to the hardware it is installed on. <br /><br />3. Data storage - The operating system manages the access to storage devices.<br /><br />4. Security.<br /><br />5. Connectivity - The operating system manages connectivity using a variety of network media. 
2;;56;The Linux operating system is composed of what following components?;1. The Linux kernel - The kernel is the actual operating system that performs key operating system duties.<br /><br />2. Libraries - Libraries are prewritten code elements that can be used by application programers for programs. They reduce the amount of code writing needed to access things in the system.<br /><br />3. Utilities - These utilities are used to help with managing system task.<br /><br />4. User interface - This user interface can be the command line or a graphical user interface. 
3;;56;Who developed the Minix clone of Unix?;Andrew S. Tanebaum<br /><br />The source code to Minix was included in his textbook &quot Operating Systems: Design and Implementation&quot  (Prentice Hall, 1987).
4;;56;What year was the developemment of Linus Torvald clone of Unix started?;October 5, 1991<br><br>It had three utilities:<br><br>-- Bash<br><br>-- Update, A utility for flushing file system buffers.<br><br>-- gcc, A C++ compiler
5;;56;In what year was Linux version 1.0 released?;1994
6;;56;In what year did Richard Stallman launch the GNU project?;1983
7;;56;What are the names of some popular Linux distributions?;-- openSUSE Linux<br><br>-- Ubuntu Linux<br><br>-- Fedora Linux<br><br>-- Red Hat Enterprise Linux<br><br>-- Debian Linux<br><br>-- Mandriva Linux<br><br>-- Gentoo Linux<br><br>-- Slackware Linux<br><br>-- CentOS
8;;56;What are the most common Linux roles?;-- Desktop<br><br>-- Server<br><br>-- Firewall
9;;41;What system is used to provide a desktop GUI interface?;The X Window System is used with desktop environments like GNOME or KDE to provide a graphical interface.
10;;57;What is a 'shell'?;A shell is a command interpreter that allows you to type commands at the keyboard that are sent to the operating system kernel. 
11;;57;What are some popular command shells for Linux?;sh (Bourne Shell) - This was an early shell deveopled for UNIX. <br /><br />bash (Bourne-Again Shell) - This shell is an improved shell from 'sh'. It tends to be installed by default on most Linux distributions.<br /><br />csh (C Shell) - The csh shell was originally developed for BSD UNIX.It uses a syntax that is very similar to C programming.<br /><br />tsch - The tsch shell is an improved version of the C Shell. It is the default shell used on FreeBSD systems. <br /><br />zsh (Z Shell) - The Z Shell is an improved version of the bash shell. 
12;;57;How can you use the 'echo' command to view your running shell?;echo $SHELL
