topic_id,topic_name,frequency,last_tried,last_success
1, Boot_Process 1,,,
2, Boot_Process 2,,,
3, Boot_Process 3,,,
4, Boot_Process 4,,,
5, Boot_Process 5,,,
6, Boot_Process 6,,,
7, Boot_Process 7,,,
8, Boot_Process 8,,,
9, Documentation 1,,,
10, Documentation 2,,,
11, Documentation 3,,,
12, Editors 1,,,
13, Editors 2,,,
14, Editors 3,,,
15, Email 1,,,
16, Email 2,,,
17, Email 3,,,
18, Email 4,,,
19, Encryption 1,,,
20, Encryption 10,,,
21, Encryption 2,,,
22, Encryption 3,,,
23, Encryption 4,,,
24, Encryption 5,,,
25, Encryption 6,,,
26, Encryption 7,,,
27, Encryption 8,,,
28, Encryption 9,,,
29, Files_and_Directories 1,,,
30, Files_and_Directories 10,,,
31, Files_and_Directories 11,,,
32, Files_and_Directories 12,,,
33, Files_and_Directories 2,,,
34, Files_and_Directories 3,,,
35, Files_and_Directories 4,,,
36, Files_and_Directories 5,,,
37, Files_and_Directories 6,,,
38, Files_and_Directories 7,,,
39, Files_and_Directories 8,,,
40, Files_and_Directories 9,,,
41, GUI ,,,
42, Hardware 1,,,
43, Hardware 2,,,
44, Hardware 3,,,
45, Hardware 4,,,
46, Hardware 5,,,
47, Hardware 6,,,
48, Hardware 7,,,
49, Hardware 8,,,
50, inetd 1,,,
51, inetd 2,,,
52, Installation 1,,,
53, Installation 2,,,
54, Installation 3,,,
55, Installation 4,,,
56, Introduction_to_Linux ,,,
57, Linux_Shells 1,,,
58, Linux_Shells 10,,,
59, Linux_Shells 11,,,
60, Linux_Shells 2,,,
61, Linux_Shells 3,,,
62, Linux_Shells 4,,,
63, Linux_Shells 5,,,
64, Linux_Shells 6,,,
65, Linux_Shells 7,,,
66, Linux_Shells 8,,,
67, Linux_Shells 9,,,
68, Logs 1,,,
69, Logs 2,,,
70, Logs 3,,,
71, Logs 4,,,
72, Managing_File_Systems 1,,,
73, Managing_File_Systems 10,,,
74, Managing_File_Systems 11,,,
75, Managing_File_Systems 12,,,
76, Managing_File_Systems 13,,,
77, Managing_File_Systems 14,,,
78, Managing_File_Systems 15,,,
79, Managing_File_Systems 16,,,
80, Managing_File_Systems 17,,,
81, Managing_File_Systems 18,,,
82, Managing_File_Systems 2,,,
83, Managing_File_Systems 3,,,
84, Managing_File_Systems 4,,,
85, Managing_File_Systems 5,,,
86, Managing_File_Systems 6,,,
87, Managing_File_Systems 7,,,
88, Managing_File_Systems 8,,,
89, Managing_File_Systems 9,,,
90, Networking 1,,,
91, Networking 2,,,
92, Networking 3,,,
93, Networking 4,,,
94, Networking 5,,,
95, Networking 6,,,
96, Networking 7,,,
97, Permissions_Ownership_Qutoas 1,,,
98, Permissions_Ownership_Qutoas 2,,,
99, Permissions_Ownership_Qutoas 3,,,
100, Permissions_Ownership_Qutoas 4,,,
101, Permissions_Ownership_Qutoas 5,,,
102, Permissions_Ownership_Qutoas 6,,,
103, Permissions_Ownership_Qutoas 7,,,
104, Permissions_Ownership_Qutoas 8,,,
105, Permissions_Ownership_Qutoas 9,,,
106, Printing 1,,,
107, Printing 10,,,
108, Printing 2,,,
109, Printing 3,,,
110, Printing 4,,,
111, Printing 5,,,
112, Printing 6,,,
113, Printing 7,,,
114, Printing 8,,,
115, Printing 9,,,
116, Processes 1,,,
117, Processes 10,,,
118, Processes 11,,,
119, Processes 12,,,
120, Processes 13,,,
121, Processes 2,,,
122, Processes 3,,,
123, Processes 4,,,
124, Processes 5,,,
125, Processes 6,,,
126, Processes 7,,,
127, Processes 8,,,
128, Processes 9,,,
129, Scripts 1,,,
130, Scripts 10,,,
131, Scripts 11,,,
132, Scripts 12,,,
133, Scripts 13,,,
134, Scripts 14,,,
135, Scripts 15,,,
136, Scripts 16,,,
137, Scripts 2,,,
138, Scripts 3,,,
139, Scripts 4,,,
140, Scripts 5,,,
141, Scripts 6,,,
142, Scripts 7,,,
143, Scripts 8,,,
144, Scripts 9,,,
145, Security 1,,,
146, Security 10,,,
147, Security 11,,,
148, Security 12,,,
149, Security 13,,,
150, Security 2,,,
151, Security 3,,,
152, Security 4,,,
153, Security 5,,,
154, Security 6,,,
155, Security 7,,,
156, Security 8,,,
157, Security 9,,,
158, Software_management 1,,,
159, Software_management 10,,,
160, Software_management 11,,,
161, Software_management 12,,,
162, Software_management 13,,,
163, Software_management 14,,,
164, Software_management 15,,,
165, Software_management 2,,,
166, Software_management 3,,,
167, Software_management 4,,,
168, Software_management 5,,,
169, Software_management 6,,,
170, Software_management 7,,,
171, Software_management 8,,,
172, Software_management 9,,,
173, SQL 1,,,
174, SQL 2,,,
175, SQL 3,,,
176, SQL 4,,,
177, Time 1,,,
178, Time 2,,,
179, Time 3,,,
180, Time 4,,,
181, Users_And_Groups 1,,,
182, Users_And_Groups 10,,,
183, Users_And_Groups 11,,,
184, Users_And_Groups 2,,,
185, Users_And_Groups 3,,,
186, Users_And_Groups 4,,,
187, Users_And_Groups 5,,,
188, Users_And_Groups 6,,,
189, Users_And_Groups 7,,,
190, Users_And_Groups 8,,,
191, Users_And_Groups 9,,,
192, X_Window 1,,,
193, X_Window 2,,,
194, X_Window 3,,,
195, X_Window 4,,,
196, X_Window 5,,,
